flow_id,path_latency(ms),bandwidth(Gbps),flow_size(MB),standard_time(ms)
DATA_B6a_DP3_PP1_TP0_Rank7_Rank3,0.1,200,20.0,0.9
DATA_B7a_DP3_PP1_TP0_Rank7_Rank3,0.1,200,20.0,0.9
DATA_B8a_DP3_PP1_TP0_Rank7_Rank3,0.1,200,20.0,0.9
DATA0_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA1_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA2_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA3_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA4_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA5_F999_DP4_PP1_TP0_Rank7_Rank4,0.1,200,7000.0,280.1
DATA_F1a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F2a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F3a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F4a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F1b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F2b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_F3b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B1b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F4b_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B2b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F5a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
DATA_B3b_DP0_PP2_TP0_Rank8_Rank4,2.2999999999999994,25,20.0,8.7
DATA_F6a_DP0_PP2_TP0_Rank8_Rank12,0.1,200,20.0,0.9
